State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Alaska,Kusilvak Census Area,Rural area,59.20%,4.10%,,
South Dakota,Oglala Lakota County,Rural area,55.80%,4.90%,,
South Dakota,Buffalo County,Rural area,50.50%,4.80%,,
Texas,Starr County,Small town,40.60%,2.80%,,
Texas,Zavala County,Rural area,40.00%,6.20%,,
Kentucky,Owsley County,Rural area,39.50%,5.90%,,
Alabama,Greene County,Rural area,38.90%,6.30%,,
Alaska,Bethel Census Area,Rural area,38.80%,3.40%,,
South Dakota,Todd County,Rural area,38.70%,4.40%,,
Mississippi,Sharkey County,Rural area,38.10%,6.40%,,
Tennessee,Lake County,Rural area,37.80%,4.30%,,
Mississippi,Humphreys County,Rural area,36.10%,3.90%,,
Mississippi,Jefferson County,Rural area,35.90%,6.40%,,
New York,Bronx County,Metro area,35.70%,0.50%,,
Texas,Brooks County,Rural area,35.60%,8.20%,,
Kentucky,Lee County,Rural area,35.60%,4.90%,,
Kentucky,Wolfe County,Rural area,35.50%,6.10%,,
Georgia,Quitman County,Small town,35.30%,8.20%,,
Alabama,Perry County,Rural area,35.10%,8.50%,,
Mississippi,Coahoma County,Small town,35.10%,3.20%,,
Kentucky,Clay County,Rural area,34.70%,3.10%,,
West Virginia,McDowell County,Rural area,34.60%,3.60%,,
Mississippi,Sunflower County,Small town,34.00%,3.00%,,
Kentucky,Breathitt County,Rural area,33.90%,3.30%,,
Kentucky,Magoffin County,Rural area,33.80%,4.80%,,
Kentucky,Bell County,Small town,33.60%,3.10%,,
Texas,Jim Hogg County,Rural area,33.60%,6.30%,,
South Dakota,Ziebach County,Rural area,33.60%,3.70%,,
Alabama,Lowndes County,Metro area,33.50%,3.70%,,
Texas,Hudspeth County,Metro area,33.30%,8.50%,,
Alaska,Northwest Arctic Borough,Rural area,33.30%,2.80%,,
Mississippi,Quitman County,Rural area,33.30%,4.80%,,
Kentucky,Knott County,Rural area,33.20%,3.50%,,
Georgia,Clay County,Rural area,32.60%,6.10%,,
Missouri,Mississippi County,Rural area,32.40%,3.60%,,
West Virginia,Clay County,Metro area,32.40%,6.00%,,
Virginia,Norton city,Small town,32.40%,6.80%,,
West Virginia,Mingo County,Rural area,32.30%,2.60%,,
Kentucky,Letcher County,Rural area,32.30%,3.20%,,
Alaska,Yukon-Koyukuk Census Area,Rural area,32.30%,2.90%,,
Alaska,Nome Census Area,Rural area,32.10%,1.70%,,
Georgia,Calhoun County,Rural area,32.00%,4.90%,,
Texas,Duval County,Rural area,32.00%,5.60%,,
Georgia,Randolph County,Rural area,31.80%,6.40%,,
Missouri,Pemiscot County,Rural area,31.80%,2.90%,,
Texas,Presidio County,Rural area,31.50%,6.90%,,
New Mexico,San Miguel County,Small town,31.20%,3.00%,,
Kentucky,Knox County,Small town,31.20%,3.50%,,
Texas,Zapata County,Small town,31.20%,6.30%,,
New Mexico,Mora County,Rural area,31.00%,9.30%,,
Colorado,Costilla County,Rural area,31.00%,5.20%,,
Arkansas,Phillips County,Small town,31.00%,3.70%,,
Texas,Maverick County,Small town,30.90%,3.00%,,
Georgia,Terrell County,Metro area,30.90%,4.50%,,
South Dakota,Mellette County,Rural area,30.60%,5.50%,,
Louisiana,East Carroll Parish,Rural area,30.50%,5.50%,,
Alabama,Dallas County,Small town,30.50%,2.30%,,
South Carolina,Allendale County,Rural area,30.40%,6.40%,,
Tennessee,Hancock County,Rural area,30.20%,4.60%,,
Florida,Hamilton County,Rural area,30.20%,5.00%,34.20%,9.80%
Texas,Cottle County,Rural area,30.10%,9.80%,,
New Mexico,Cibola County,Small town,30.10%,3.10%,,
Mississippi,Issaquena County,Rural area,30.00%,8.70%,,
Mississippi,Noxubee County,Rural area,29.90%,5.00%,,
Colorado,Bent County,Rural area,29.90%,6.00%,,
Kentucky,McCreary County,Rural area,29.80%,4.00%,,
Florida,Dixie County,Rural area,29.80%,5.30%,8.30%,4.20%
Louisiana,Natchitoches Parish,Small town,29.50%,2.40%,,
Louisiana,Madison Parish,Rural area,29.30%,4.40%,,
West Virginia,Calhoun County,Rural area,29.10%,6.30%,,
Texas,Hidalgo County,Metro area,29.10%,0.80%,,
Mississippi,Washington County,Small town,28.90%,2.00%,,
Georgia,Mitchell County,Rural area,28.60%,3.20%,,
Virginia,Emporia city,Rural area,28.60%,7.90%,,
Kentucky,Perry County,Rural area,28.50%,3.50%,,
Ohio,Scioto County,Small town,28.40%,1.70%,,
North Carolina,Robeson County,Small town,28.40%,1.00%,,
Mississippi,Tunica County,Metro area,28.40%,5.70%,,
Texas,Dimmit County,Rural area,28.40%,8.20%,,
Kentucky,Harlan County,Rural area,28.40%,2.40%,,
North Carolina,Halifax County,Small town,28.30%,2.20%,,
Alaska,Lake and Peninsula Borough,Rural area,28.30%,4.20%,,
Kentucky,Elliott County,Rural area,28.20%,5.80%,,
Alaska,Dillingham Census Area,Rural area,28.20%,3.00%,,
Mississippi,Bolivar County,Small town,28.10%,2.50%,,
North Carolina,Bladen County,Rural area,28.00%,3.10%,,
Mississippi,Tallahatchie County,Rural area,28.00%,3.10%,,
West Virginia,Summers County,Rural area,28.00%,5.10%,,
Kentucky,Jackson County,Rural area,27.90%,3.80%,,
Georgia,Evans County,Rural area,27.80%,4.90%,,
North Carolina,Edgecombe County,Metro area,27.70%,2.00%,,
Missouri,Dunklin County,Small town,27.70%,2.20%,,
South Carolina,Marion County,Rural area,27.60%,2.90%,,
South Dakota,Corson County,Rural area,27.50%,2.60%,,
Missouri,New Madrid County,Rural area,27.50%,2.70%,,
Alabama,Sumter County,Rural area,27.50%,4.50%,,
Arkansas,Desha County,Rural area,27.50%,3.90%,,
Tennessee,Haywood County,Small town,27.40%,3.60%,,
Oregon,Malheur County,Small town,27.40%,2.20%,,
Kentucky,Floyd County,Rural area,27.40%,2.70%,,
Georgia,Crisp County,Small town,27.30%,3.30%,,
West Virginia,Webster County,Rural area,27.30%,4.50%,,
Arkansas,Woodruff County,Rural area,27.20%,3.90%,,
North Carolina,Scotland County,Small town,27.10%,2.00%,,
North Dakota,Rolette County,Rural area,27.00%,3.10%,,
Oregon,Jefferson County,Rural area,27.00%,3.10%,,
Mississippi,Yazoo County,Metro area,26.90%,2.20%,,
Georgia,Dougherty County,Metro area,26.90%,1.60%,,
Mississippi,Holmes County,Rural area,26.90%,2.70%,,
New Mexico,Luna County,Small town,26.90%,3.00%,,
Alabama,Barbour County,Small town,26.80%,2.40%,,
Georgia,Jenkins County,Rural area,26.80%,6.40%,,
South Carolina,Williamsburg County,Rural area,26.60%,2.80%,,
North Carolina,Richmond County,Small town,26.50%,2.50%,,
Kentucky,Lewis County,Rural area,26.40%,3.50%,,
Georgia,Washington County,Rural area,26.40%,3.00%,,
Georgia,Warren County,Rural area,26.20%,4.10%,,
Louisiana,Tensas Parish,Rural area,26.20%,4.90%,,
New Mexico,McKinley County,Small town,26.20%,1.40%,,
Louisiana,Claiborne Parish,Rural area,26.20%,3.90%,,
North Carolina,Lenoir County,Small town,26.20%,2.20%,,
Tennessee,Scott County,Rural area,26.10%,3.50%,,
North Carolina,Washington County,Rural area,26.10%,5.20%,,
Mississippi,Kemper County,Small town,26.00%,6.80%,,
Texas,Webb County,Metro area,26.00%,1.10%,,
West Virginia,Wyoming County,Rural area,26.00%,3.00%,,
Georgia,Hancock County,Small town,25.90%,5.10%,,
Arizona,Apache County,Rural area,25.90%,1.60%,,
Arizona,Santa Cruz County,Small town,25.80%,3.10%,,
Tennessee,Lauderdale County,Rural area,25.80%,2.40%,,
Pennsylvania,Philadelphia County,Metro area,25.80%,0.40%,,
Illinois,Saline County,Rural area,25.70%,2.80%,,
Georgia,Treutlen County,Rural area,25.70%,5.00%,,
Kentucky,Leslie County,Rural area,25.60%,6.30%,,
North Carolina,Hertford County,Rural area,25.50%,2.60%,,
Alabama,Hale County,Metro area,25.50%,4.20%,,
Georgia,Jefferson County,Rural area,25.40%,4.00%,,
Virginia,Petersburg city,Metro area,25.40%,2.10%,,
Alabama,Wilcox County,Rural area,25.40%,3.70%,,
West Virginia,Boone County,Metro area,25.40%,3.40%,,
Georgia,Dooly County,Rural area,25.40%,5.20%,,
Kentucky,Clinton County,Rural area,25.30%,3.90%,,
Ohio,Pike County,Rural area,25.20%,3.20%,,
Georgia,Early County,Rural area,25.20%,3.80%,,
North Carolina,Bertie County,Rural area,25.20%,3.30%,,
Wisconsin,Menominee County,Small town,25.10%,4.60%,,
Georgia,Turner County,Rural area,25.10%,5.40%,,
Florida,Hendry County,Small town,25.00%,3.50%,11.30%,54.30%
West Virginia,Lincoln County,Metro area,25.00%,3.60%,,
Oklahoma,Choctaw County,Rural area,24.90%,2.20%,,
Illinois,Gallatin County,Rural area,24.90%,3.70%,,
North Carolina,Northampton County,Small town,24.90%,2.90%,,
Louisiana,Washington Parish,Small town,24.90%,2.50%,,
Kentucky,Estill County,Rural area,24.80%,3.50%,,
North Carolina,Columbus County,Rural area,24.80%,2.00%,,
West Virginia,Logan County,Small town,24.70%,2.40%,,
Georgia,Taylor County,Rural area,24.70%,4.80%,,
Arkansas,Lee County,Rural area,24.60%,4.00%,,
Louisiana,St. Helena Parish,Metro area,24.60%,6.00%,,
Florida,Miami-Dade County,Metro area,24.60%,0.30%,,
Mississippi,Winston County,Rural area,24.50%,3.50%,,
Georgia,Stewart County,Rural area,24.40%,6.10%,,
Kentucky,Johnson County,Rural area,24.40%,3.20%,,
South Carolina,Barnwell County,Rural area,24.40%,3.40%,,
Kentucky,Rockcastle County,Small town,24.40%,3.50%,,
Kentucky,Lawrence County,Rural area,24.40%,3.70%,,
Maryland,Somerset County,Metro area,24.40%,3.00%,,
Texas,Cameron County,Metro area,24.40%,0.80%,,
South Carolina,Dillon County,Rural area,24.30%,2.70%,,
Mississippi,Claiborne County,Small town,24.30%,4.90%,,
Florida,Gadsden County,Metro area,24.20%,2.50%,,
Louisiana,Bienville Parish,Rural area,24.20%,3.60%,,
New Mexico,Dona Ana County,Metro area,24.20%,1.40%,,
North Carolina,Greene County,Rural area,24.10%,3.10%,,
North Carolina,Vance County,Small town,24.10%,2.30%,,
Maryland,Baltimore city,Metro area,24.00%,0.60%,,
Georgia,Emanuel County,Rural area,24.00%,3.40%,,
Kentucky,Morgan County,Rural area,24.00%,3.90%,,
Tennessee,Pickett County,Rural area,23.90%,6.40%,,
Louisiana,Richland Parish,Rural area,23.90%,2.50%,,
Virginia,Lee County,Rural area,23.80%,3.00%,,
Kentucky,Fulton County,Small town,23.80%,4.90%,,
Oregon,Klamath County,Small town,23.80%,1.80%,,
South Carolina,Clarendon County,Rural area,23.80%,2.20%,,
North Carolina,Jones County,Metro area,23.70%,3.80%,,
Tennessee,Bledsoe County,Rural area,23.70%,3.30%,,
Missouri,Wright County,Rural area,23.70%,3.00%,,
North Dakota,Sioux County,Metro area,23.70%,4.00%,,
South Dakota,Dewey County,Rural area,23.60%,3.00%,,
Kentucky,Powell County,Rural area,23.50%,4.60%,,
